TRIP_ID,SPACE_AND_TIME
1378245705620000436,"[[-8.584353, 41.163201, 1378245705], [-8.584335, 41.163174, 1378245720], [-8.585694, 41.163129, 1378245735], [-8.585685, 41.163885, 1378245750], [-8.585181, 41.16483, 1378245765], [-8.584506, 41.164677, 1378245780], [-8.583471, 41.16492, 1378245795], [-8.581878, 41.165397, 1378245810], [-8.581086, 41.165892, 1378245825], [-8.579898, 41.166927, 1378245840], [-8.579826, 41.168196, 1378245855], [-8.581032, 41.168448, 1378245870], [-8.58204, 41.168322, 1378245885], [-8.58348, 41.168412, 1378245900], [-8.584614, 41.1687, 1378245915], [-8.58402, 41.169843, 1378245930]]"
1378245895620000216,"[[-8.674038, 41.153886, 1378245895], [-8.673984, 41.153913, 1378245910], [-8.673777, 41.154516, 1378245925], [-8.672508, 41.154777, 1378245940], [-8.671194, 41.153697, 1378245955], [-8.669601, 41.152527, 1378245970], [-8.668026, 41.151699, 1378245985], [-8.668017, 41.151699, 1378246000], [-8.666919, 41.15133, 1378246015], [-8.664345, 41.150655, 1378246030], [-8.661762, 41.150457, 1378246045], [-8.659026, 41.150655, 1378246060], [-8.656488, 41.151393, 1378246075], [-8.653824, 41.152104, 1378246090], [-8.651223, 41.152644, 1378246105], [-8.650161, 41.153625, 1378246120], [-8.650188, 41.15286, 1378246135]]"
1378245770620000129,"[[-8.613963, 41.141214, 1378245770], [-8.613972, 41.141214, 1378245785], [-8.613972, 41.141241, 1378245800], [-8.614233, 41.141133, 1378245815], [-8.614413, 41.1417, 1378245830], [-8.614134, 41.142654, 1378245845], [-8.613117, 41.14341, 1378245860], [-8.612064, 41.144202, 1378245875], [-8.611236, 41.144787, 1378245890], [-8.611074, 41.144859, 1378245905], [-8.61075, 41.145516, 1378245920], [-8.610408, 41.146119, 1378245935], [-8.609706, 41.146542, 1378245950], [-8.608833, 41.146965, 1378245965], [-8.608707, 41.147118, 1378245980], [-8.608644, 41.147334, 1378245995], [-8.608068, 41.148216, 1378246010], [-8.60751, 41.149197, 1378246025], [-8.606979, 41.150331, 1378246040], [-8.606367, 41.150979, 1378246055], [-8.604819, 41.150934, 1378246070], [-8.603235, 41.150988, 1378246085], [-8.602362, 41.151015, 1378246100], [-8.602353, 41.151042, 1378246115], [-8.602344, 41.15106, 1378246130], [-8.602254, 41.151573, 1378246145], [-8.602416, 41.152626, 1378246160], [-8.602479, 41.15295, 1378246175], [-8.602434, 41.15358, 1378246190], [-8.602461, 41.155038, 1378246205], [-8.602182, 41.156568, 1378246220], [-8.601534, 41.158269, 1378246235], [-8.601129, 41.159241, 1378246250], [-8.601147, 41.159268, 1378246265], [-8.602263, 41.156361, 1378246280], [-8.601624, 41.158044, 1378246295], [-8.601156, 41.159232, 1378246310], [-8.601147, 41.159259, 1378246325], [-8.601129, 41.159286, 1378246340], [-8.600004, 41.159106, 1378246355], [-8.59887, 41.158818, 1378246370], [-8.598861, 41.158881, 1378246385], [-8.598843, 41.158899, 1378246400], [-8.598681, 41.158692, 1378246415], [-8.598987, 41.157486, 1378246430], [-8.599203, 41.156181, 1378246445], [-8.599113, 41.156091, 1378246460], [-8.599131, 41.156064, 1378246475], [-8.599113, 41.156073, 1378246490]]"
1378246002620000328,"[[-8.585712, 41.148504, 1378246002], [-8.585784, 41.148693, 1378246017], [-8.586423, 41.148909, 1378246032], [-8.586297, 41.147892, 1378246047], [-8.58699, 41.147253, 1378246062], [-8.584776, 41.146605, 1378246077], [-8.582967, 41.145138, 1378246092], [-8.580573, 41.145111, 1378246107], [-8.579061, 41.145903, 1378246122], [-8.580105, 41.146659, 1378246137], [-8.581212, 41.148189, 1378246152], [-8.580726, 41.14719, 1378246167], [-8.581122, 41.144049, 1378246182], [-8.580942, 41.140224, 1378246197], [-8.581608, 41.136192, 1378246212], [-8.585775, 41.1336, 1378246227], [-8.59023, 41.131368, 1378246242], [-8.592867, 41.130378, 1378246257], [-8.595153, 41.128452, 1378246272], [-8.596179, 41.12568, 1378246287], [-8.597619, 41.124933, 1378246302], [-8.598654, 41.124942, 1378246317], [-8.59851, 41.123016, 1378246332], [-8.600265, 41.120811, 1378246347], [-8.603289, 41.120046, 1378246362], [-8.605764, 41.120082, 1378246377], [-8.605782, 41.120091, 1378246392], [-8.605845, 41.120118, 1378246407], [-8.606997, 41.119749, 1378246422], [-8.607807, 41.118372, 1378246437], [-8.607933, 41.11776, 1378246452], [-8.608203, 41.117661, 1378246467], [-8.608824, 41.117553, 1378246482], [-8.609481, 41.116914, 1378246497], [-8.610174, 41.116563, 1378246512], [-8.610894, 41.116662, 1378246527], [-8.611101, 41.116707, 1378246542], [-8.611812, 41.115672, 1378246557], [-8.612757, 41.114214, 1378246572], [-8.613558, 41.113809, 1378246587]]"
1378246385620000364,"[[-8.61471, 41.140971, 1378246385], [-8.614503, 41.141403, 1378246400], [-8.614233, 41.142393, 1378246415], [-8.613612, 41.143122, 1378246430], [-8.612496, 41.143941, 1378246445], [-8.611488, 41.144778, 1378246460], [-8.611326, 41.144913, 1378246475], [-8.611335, 41.144949, 1378246490], [-8.611137, 41.145102, 1378246505], [-8.610615, 41.144157, 1378246520], [-8.610048, 41.143221, 1378246535], [-8.608329, 41.14305, 1378246550], [-8.606088, 41.142393, 1378246565], [-8.604972, 41.143887, 1378246580], [-8.606403, 41.144562, 1378246595], [-8.60742, 41.145372, 1378246610], [-8.606988, 41.146398, 1378246625], [-8.607762, 41.147442, 1378246640], [-8.609823, 41.147703, 1378246655]]"
1378245777620000020,"[[-8.604846, 41.161113, 1378245777], [-8.604837, 41.161122, 1378245792], [-8.604945, 41.16096, 1378245807], [-8.605035, 41.160654, 1378245822], [-8.605053, 41.160654, 1378245837], [-8.605044, 41.160654, 1378245852], [-8.604801, 41.160555, 1378245867], [-8.604693, 41.160537, 1378245882], [-8.604252, 41.160852, 1378245897], [-8.604684, 41.161824, 1378245912], [-8.605161, 41.16195, 1378245927], [-8.605737, 41.162049, 1378245942], [-8.606889, 41.162292, 1378245957], [-8.60661, 41.163345, 1378245972], [-8.606313, 41.164749, 1378245987], [-8.606313, 41.165046, 1378246002], [-8.606313, 41.165163, 1378246017], [-8.606448, 41.166765, 1378246032], [-8.606232, 41.169285, 1378246047], [-8.604747, 41.171112, 1378246062], [-8.604837, 41.172795, 1378246077], [-8.607627, 41.173209, 1378246092], [-8.610939, 41.174469, 1378246107], [-8.614341, 41.174451, 1378246122], [-8.618274, 41.173902, 1378246137], [-8.622234, 41.173497, 1378246152], [-8.626608, 41.173074, 1378246167], [-8.630757, 41.172372, 1378246182], [-8.634069, 41.171652, 1378246197], [-8.63712, 41.170797, 1378246212], [-8.639838, 41.169051, 1378246227], [-8.642628, 41.168178, 1378246242], [-8.644536, 41.169177, 1378246257], [-8.647254, 41.171292, 1378246272], [-8.650341, 41.173902, 1378246287], [-8.652825, 41.176143, 1378246302], [-8.654868, 41.177763, 1378246317], [-8.655057, 41.178024, 1378246332], [-8.656443, 41.177817, 1378246347], [-8.659269, 41.177322, 1378246362], [-8.662176, 41.177196, 1378246377], [-8.663265, 41.178402, 1378246392], [-8.6661, 41.179347, 1378246407], [-8.667882, 41.177547, 1378246422], [-8.670087, 41.176458, 1378246437], [-8.672202, 41.174415, 1378246452], [-8.674227, 41.172957, 1378246467], [-8.673264, 41.17212, 1378246482], [-8.671392, 41.170986, 1378246497], [-8.670501, 41.170887, 1378246512], [-8.670042, 41.17104, 1378246527], [-8.669952, 41.171058, 1378246542], [-8.669961, 41.171049, 1378246557], [-8.66997, 41.17104, 1378246572], [-8.66997, 41.17104, 1378246587], [-8.66997, 41.17104, 1378246602], [-8.66997, 41.171058, 1378246617]]"
1378245787620000304,"[[-8.610048, 41.140827, 1378245787], [-8.613135, 41.141529, 1378245802], [-8.614071, 41.141151, 1378245817], [-8.614476, 41.141754, 1378245832], [-8.61408, 41.142618, 1378245847], [-8.613189, 41.143401, 1378245862], [-8.612145, 41.144211, 1378245877], [-8.611029, 41.144976, 1378245892], [-8.610597, 41.144076, 1378245907], [-8.610516, 41.14377, 1378245922], [-8.610525, 41.14377, 1378245937], [-8.610201, 41.143248, 1378245952], [-8.608617, 41.143158, 1378245967], [-8.606232, 41.14233, 1378245982], [-8.60517, 41.143365, 1378245997], [-8.605125, 41.144103, 1378246012], [-8.606781, 41.144715, 1378246027], [-8.607474, 41.145399, 1378246042], [-8.607429, 41.145363, 1378246057], [-8.607438, 41.145363, 1378246072]]"
1378246513620000667,"[[-8.6085, 41.147775, 1378246513], [-8.608815, 41.147631, 1378246528], [-8.610417, 41.148099, 1378246543], [-8.610606, 41.147901, 1378246558], [-8.610831, 41.147973, 1378246573], [-8.610336, 41.149278, 1378246588], [-8.610021, 41.150556, 1378246603], [-8.61003, 41.150592, 1378246618], [-8.610012, 41.150619, 1378246633], [-8.609607, 41.151564, 1378246648], [-8.609994, 41.152698, 1378246663], [-8.609967, 41.153229, 1378246678], [-8.609643, 41.154201, 1378246693], [-8.609274, 41.155857, 1378246708], [-8.608878, 41.158296, 1378246723], [-8.607726, 41.160618, 1378246738], [-8.607285, 41.161347, 1378246753], [-8.606898, 41.162022, 1378246768], [-8.608194, 41.162229, 1378246783], [-8.60904, 41.162463, 1378246798], [-8.61057, 41.162679, 1378246813], [-8.611029, 41.162922, 1378246828], [-8.61111, 41.164992, 1378246843], [-8.611794, 41.166351, 1378246858], [-8.612289, 41.166387, 1378246873], [-8.612289, 41.16645, 1378246888], [-8.612262, 41.166495, 1378246903]]"
1378246980620000518,"[[-8.630541, 41.154741, 1378246980], [-8.631603, 41.154147, 1378246995], [-8.632503, 41.152842, 1378247010], [-8.632611, 41.152752, 1378247025], [-8.634762, 41.152455, 1378247040], [-8.63739, 41.152806, 1378247055], [-8.640144, 41.153436, 1378247070], [-8.642637, 41.154129, 1378247085], [-8.644941, 41.154489, 1378247100], [-8.647596, 41.154336, 1378247115], [-8.647875, 41.154327, 1378247130]]"
1378246039620000430,"[[-8.654733, 41.173614, 1378246039], [-8.654841, 41.173443, 1378246054], [-8.654823, 41.173434, 1378246069], [-8.655444, 41.17266, 1378246084], [-8.656605, 41.171283, 1378246099], [-8.656722, 41.171166, 1378246114], [-8.656731, 41.171157, 1378246129], [-8.657064, 41.170725, 1378246144], [-8.65818, 41.169393, 1378246159], [-8.65917, 41.169465, 1378246174], [-8.660682, 41.17032, 1378246189], [-8.661465, 41.171166, 1378246204], [-8.661474, 41.171229, 1378246219]]"
